"id","name","child_ids/id","employee_ids/id","parent_id/id"
"hr_employee_category_1","Executive","","",""
"hr_employee_category_2","Office Employees","","",""
"hr_employee_category_3","WH-D","","",""
"hr_employee_category_4","WH-G","","",""
"hr_employee_category_5","FCFT","","",""
"hr_employee_category_6","BAFT","","",""
"hr_employee_category_7","FCPT","","",""
"hr_employee_category_8","BAPT","","",""
"hr_employee_category_17","PR","","",""
"hr_employee_category_18","Singapore Citizen","","",""
"hr_employee_category_19","S Pass","","",""
"hr_employee_category_20","E Pass","","",""
"hr_employee_category_21","Work Permit","","",""
"hr_employee_category_22","PBP","","",""
"hr_employee_category_23","jas","","",""
